/usr/sbin/mysqld, Version: 8.0.27 (MySQL Community Server - GPL). started with:
Tcp port: 3306  Unix socket: /var/run/mysqld/mysqld.sock
Time                 Id Command    Argument
2021-12-30T05:40:48.192905Z	 8270 Query	/* mysql-connector-java-8.0.22 (Revision: d64b664fa93e81296a377de031b8123a67e6def2) */SELECT  @@session.auto_increment_increment AS auto_increment_increment, @@character_set_client AS character_set_client, @@character_set_connection AS character_set_connection, @@character_set_results AS character_set_results, @@character_set_server AS character_set_server, @@collation_server AS collation_server, @@collation_connection AS collation_connection, @@init_connect AS init_connect, @@interactive_timeout AS interactive_timeout, @@license AS license, @@lower_case_table_names AS lower_case_table_names, @@max_allowed_packet AS max_allowed_packet, @@net_write_timeout AS net_write_timeout, @@performance_schema AS performance_schema, @@sql_mode AS sql_mode, @@system_time_zone AS system_time_zone, @@time_zone AS time_zone, @@transaction_isolation AS transaction_isolation, @@wait_timeout AS wait_timeout
2021-12-30T05:40:48.194216Z	 8270 Query	SET NAMES utf8mb4
2021-12-30T05:40:48.194554Z	 8270 Query	SET character_set_results = NULL
2021-12-30T05:40:48.194918Z	 8270 Query	SET autocommit=1
2021-12-30T05:40:48.195519Z	 8270 Query	SET SESSION sql_mode='NO_AUTO_VALUE_ON_ZERO'
2021-12-30T05:40:48.195898Z	 8270 Query	SELECT @@session.transaction_read_only
2021-12-30T05:40:48.196363Z	 8270 Query	insert into table0 (pkId,pkAttr0,coAttr0_0) values ("0","0","18609")
2021-12-30T05:40:48.203222Z	 8270 Query	SELECT @@session.transaction_read_only
2021-12-30T05:40:48.204015Z	 8270 Query	insert into table0 (pkId,pkAttr0,coAttr0_0) values ("1","1","13868")
2021-12-30T05:40:48.207904Z	 8270 Query	SELECT @@session.transaction_read_only
2021-12-30T05:40:48.208669Z	 8270 Query	insert into table0 (pkId,pkAttr0,coAttr0_0) values ("2","2","66")
2021-12-30T05:40:48.213295Z	 8270 Query	SELECT @@session.transaction_read_only
2021-12-30T05:40:48.213979Z	 8270 Query	insert into table0 (pkId,pkAttr0,coAttr0_0) values ("3","3","25584")
2021-12-30T05:40:48.244530Z	 8270 Query	SELECT @@session.transaction_read_only
2021-12-30T05:40:48.245143Z	 8270 Query	insert into table0 (pkId,pkAttr0,coAttr0_0) values ("4","4","34334")
2021-12-30T05:40:48.250066Z	 8270 Query	SELECT @@session.transaction_read_only
2021-12-30T05:40:48.250706Z	 8270 Query	insert into table0 (pkId,pkAttr0,coAttr0_0) values ("5","5","77127")
2021-12-30T05:40:48.253882Z	 8270 Query	SELECT @@session.transaction_read_only
2021-12-30T05:40:48.254479Z	 8270 Query	insert into table0 (pkId,pkAttr0,coAttr0_0) values ("6","6","4657")
2021-12-30T05:40:48.262978Z	 8270 Query	SELECT @@session.transaction_read_only
2021-12-30T05:40:48.263583Z	 8270 Query	insert into table0 (pkId,pkAttr0,coAttr0_0) values ("7","7","41725")
2021-12-30T05:40:48.273340Z	 8270 Query	SELECT @@session.transaction_read_only
